,# BBPlG 2013,Start,Start_address,Start_geometry,End,End_address,End_geometry,New,Retro,Int_start,Int_end,Short
45,24,"Rommelsbach, Reutlingen","Rommelsbach, Reutlingen, Landkreis Reutlingen, Baden-Württemberg, Deutschland",POINT (9.2043979 48.53153),Herbertingen,"Herbertingen, Verwaltungsgemeinschaft Bad Saulgau, Landkreis Sigmaringen, Baden-Württemberg, 88518, Deutschland",POINT (9.44792963061036 48.0593422),,1.0,,,
46,25,Wullenstetten,"Wullenstetten, Senden, Landkreis Neu-Ulm, Bayern, 89250, Deutschland",POINT (10.0688595 48.3164069),Niederwangen,"Niederwangen, Wangen im Allgäu, Verwaltungsgemeinschaft Wangen im Allgäu, Landkreis Ravensburg, Baden-Württemberg, 88239, Deutschland",POINT (9.7991925 47.6721727),,1.0,,,
47,26,"Bärwalde, Radeburg","Bärwalde, Radeburg, Meißen, Sachsen, Deutschland",POINT (13.6724864 51.2021243),Schmölln-Putzkau,"Schmölln-Putzkau, Bautzen, Sachsen, 01877, Deutschland",POINT (14.2254745 51.1123847),,1.0,,,
48,27,Welsleben,"Welsleben, Bördeland, Salzlandkreis, Sachsen-Anhalt, Deutschland",POINT (11.641686501443795 52.0089572),Förderstedt,"Förderstedt, Staßfurt, Salzlandkreis, Sachsen-Anhalt, 39443, Deutschland",POINT (11.628641815469894 51.894248250000004),1.0,,,,1.0
49,28,Parchim,"Parchim, Ludwigslust-Parchim, Mecklenburg-Vorpommern, Deutschland",POINT (11.8475244 53.4258455),Neuburg Parchim,"Neuburg, Siggelkow, Eldenburg Lübz, Ludwigslust-Parchim, Mecklenburg-Vorpommern, 19376, Deutschland",POINT (11.9184015 53.4070127),1.0,,,,1.0
50,29,Güstrow,"Güstrow, Landkreis Rostock, Mecklenburg-Vorpommern, 18273, Deutschland",POINT (12.1759661 53.7936523),Bentwisch Rostock,"Bentwisch, Rostocker Heide, Landkreis Rostock, Mecklenburg-Vorpommern, Deutschland",POINT (12.2022371 54.1162169),1.0,,,,
51,29,Bentwisch Rostock,"Bentwisch, Rostocker Heide, Landkreis Rostock, Mecklenburg-Vorpommern, Deutschland",POINT (12.2022371 54.1162169),Graal-Müritz,"Graal-Müritz, Landkreis Rostock, Mecklenburg-Vorpommern, 18181, Deutschland",POINT (12.2517155 54.2552653),1.0,,,,
52,30,Oberzier,"Oberzier, Niederzier, Kreis Düren, Nordrhein-Westfalen, 52382, Deutschland",POINT (6.4738745 50.8658407),Lichtenbusch Aachen,"Lichtenbusch, Aachen, Städteregion Aachen, Nordrhein-Westfalen, 52076, Deutschland",POINT (6.1276361 50.7114975),1.0,,,,
53,31,Wilhelmshaven,"Wilhelmshaven, Niedersachsen, 26382, Deutschland",POINT (8.106301 53.5278793),Neustadtgödens,"Neustadtgödens, Sande, Landkreis Friesland, Niedersachsen, 26452, Deutschland",POINT (7.9871044 53.4785349),1.0,,,,
54,31,Neustadtgödens,"Neustadtgödens, Sande, Landkreis Friesland, Niedersachsen, 26452, Deutschland",POINT (7.9871044 53.4785349),Conneforde,"Conneforde, Wiefelstede, Landkreis Ammerland, Niedersachsen, 26215, Deutschland",POINT (8.0577591 53.3257698),1.0,,,,
55,32,Matzenhof Simbach,"Matzenhof, Simbach, Landkreis Rottal-Inn, Bayern, 84359, Deutschland",POINT (12.9960732 48.2949521),Umspannwerk Simbach,"Umspannwerk Simbach, Mooseck, Simbach, Landkreis Rottal-Inn, Bayern, 84359, Deutschland",POINT (13.002627774337158 48.262078349999996),,1.0,,,
56,32,Gaden Altheim,"Gaden, Altheim, Essenbach, Landkreis Landshut, Bayern, 84051, Deutschland",POINT (12.2164978 48.5879869),Braunau am Inn,"Braunau am Inn, Bezirk Braunau am Inn, Oberösterreich, 5280, Österreich",POINT (13.039506 48.253136),,1.0,,,
57,32,Kernkraftwerk Isar,"Kernkraftwerk Isar, Unterahrain, Essenbach, Landkreis Landshut, Bayern, 84051, Deutschland",POINT (12.295509592903766 48.605218),Ottenhofen,"Ottenhofen, Oberneuching (VGem), Landkreis Erding, Bayern, Deutschland",POINT (11.8799783 48.2157282),,1.0,,,
58,33,Wilster,"Wilster, Kreis Steinburg, Schleswig-Holstein, 25554, Deutschland",POINT (9.373378722135374 53.9232825),Meldorf,"Meldorf, Mitteldithmarschen, Dithmarschen, Schleswig-Holstein, 25704, Deutschland",POINT (9.070633 54.08988),1.0,,,,
59,33,Meldorf,"Meldorf, Mitteldithmarschen, Dithmarschen, Schleswig-Holstein, 25704, Deutschland",POINT (9.070633 54.08988),Büsum,"Büsum, Büsum-Wesselburen, Dithmarschen, Schleswig-Holstein, 25761, Deutschland",POINT (8.8586989 54.1298489),1.0,,,,
60,34,Emden,"Emden, Niedersachsen, 26721, Deutschland",POINT (7.2058304 53.3670541),Conneforde,"Conneforde, Wiefelstede, Landkreis Ammerland, Niedersachsen, 26215, Deutschland",POINT (8.0577591 53.3257698),,1.0,,,
61,35,"48.89024, 8.64165","Höhenstraße, Birkenfeld, Enzkreis, Baden-Württemberg, 75179, Deutschland",POINT (8.6401205 48.8910107),Mühlacker,"Mühlacker, VVG der Stadt Mühlacker, Enzkreis, Baden-Württemberg, 75417, Deutschland",POINT (8.8492931 48.9487272),1.0,,,,1.0
62,36,Woringen,"Woringen, Bad Grönenbach, Landkreis Unterallgäu, Bayern, 87789, Deutschland",POINT (10.2012426 47.9227076),Memmingen,"Memmingen, Bayern, 87700, Deutschland",POINT (10.181319 47.9867696),,1.0,,,
63,36,Vöhringen,"Vöhringen, Landkreis Neu-Ulm, Bayern, 89269, Deutschland",POINT (10.0832982 48.2833039),Füssen,"Füssen, Landkreis Ostallgäu, Bayern, 87629, Deutschland",POINT (10.6977089 47.5709212),,1.0,,,
