AGS,pop_density,male,female,foreign,employed,unemployed,avg_income,avg_age,age 0-17,age 18-24,age 25-44,age 45-64,age 65+,protestant,catholic,religion_other
13076154,,,,,,,37900.0,47.7,12.4,4.2,19.6,45.1,18.8,,,
13076155,,,,,,,22900.0,45.5,14.8,6.3,20.7,40.1,18.2,,,
13076156,,,,,,,27700.0,46.1,14.5,4.5,23.6,38.2,19.2,,,
13076157,,,,,,,23100.0,44.5,16.2,4.6,24.4,38.0,16.8,,,
13076158,,,,,,,25000.0,42.6,18.5,5.5,25.7,32.9,17.3,,,
13076159,,,,,,,26900.0,43.1,17.1,6.2,27.8,30.3,18.6,,,
13076160,,,,,,,23800.0,47.2,14.7,5.5,18.1,40.6,21.0,,,
13076161,,,,,,,21500.0,46.3,14.2,5.7,21.4,38.2,20.4,,,
13076162,,,,,,,24100.0,46.8,14.1,4.6,23.5,37.3,20.4,,,
13076163,,,,,,,28100.0,51.0,9.1,4.5,16.2,46.1,24.0,,,
13076164,,,,,,,,49.1,10.1,5.0,20.7,42.5,21.8,,,
13076165,,,,,,,,,,,,,,,,
13076166,,,,,,,,,,,,,,,,
13076167,,,,,,,,,,,,,,,,
13076168,,,,,,,,,,,,,,,,
13076169,,,,,,,,,,,,,,,,
14000000,220.24084912835784,0.48746980069754503,0.5125301993024549,0.019044818340765712,0.37495473648065875,0.05122166516014227,25200.0,46.5,14.0,6.5,24.6,30.2,24.8,0.20266717675684695,0.03553146212075087,0.7618013611224022
01410000,,,,,,,,,,,,,,,,
14161000,,,,,,,,,,,,,,,,
14166000,,,,,,,,,,,,,,,,
14167000,,,,,,,,,,,,,,,,
14171000,,,,,,,,,,,,,,,,
14173000,,,,,,,,,,,,,,,,
14177000,,,,,,,,,,,,,,,,
14178000,,,,,,,,,,,,,,,,
14181000,,,,,,,,,,,,,,,,
14182000,,,,,,,,,,,,,,,,
14188000,,,,,,,,,,,,,,,,
14191000,,,,,,,,,,,,,,,,
14193000,,,,,,,,,,,,,,,,
01420000,,,,,,,,,,,,,,,,
14262000,,,,,,,,,,,,,,,,
14263000,,,,,,,,,,,,,,,,
14264000,,,,,,,,,,,,,,,,
14272000,,,,,,,,,,,,,,,,
14280000,,,,,,,,,,,,,,,,
14284000,,,,,,,,,,,,,,,,
14285000,,,,,,,,,,,,,,,,
14286000,,,,,,,,,,,,,,,,
14287000,,,,,,,,,,,,,,,,
14290000,,,,,,,,,,,,,,,,
14292000,,,,,,,,,,,,,,,,
01430000,,,,,,,,,,,,,,,,
14365000,,,,,,,,,,,,,,,,
14374000,,,,,,,,,,,,,,,,
14375000,,,,,,,,,,,,,,,,
14379000,,,,,,,,,,,,,,,,
14383000,,,,,,,,,,,,,,,,
14389000,,,,,,,,,,,,,,,,
01450000,229.83374771222995,0.4862971307074725,0.5137028692925275,0.013434760976767948,0.368609584938982,0.04641008300686811,24200.0,47.9,13.5,5.8,22.7,31.8,26.2,0.24677369657341566,0.022313681393949823,0.7309126220326345
14511000,1087.9052707842782,0.48209595717847437,0.5179040428215257,0.028370093193425264,0.3562452914219594,0.0551085730459141,24700.0,47.2,13.0,7.1,24.5,28.6,26.7,0.12918881345914515,0.020823881491594278,0.8499873050492606
14521000,197.875168181669,0.48792258513893383,0.5120774148610662,0.008198103324847772,0.36903903082166223,0.04707690351611842,23300.0,47.8,14.0,5.3,22.4,33.2,25.2,0.35146811280545953,0.018366957718682887,0.6301649294758576
14521010,168.7311827956989,0.49324496558756054,0.5067550344124394,0.0007647208768799389,0.3933214376752485,0.029824114198317615,26900.0,45.5,16.1,5.1,23.7,33.4,21.7,0.3670660209023706,0.014784603619678817,0.6181493754779506
14521020,750.8004268943437,0.47467424780857614,0.5253257521914239,0.011987680644397062,0.3480691779199242,0.06699834162520729,22200.0,47.5,14.2,5.7,22.7,32.3,25.2,0.26936744847192606,0.023169864960909736,0.7074626865671642
14521030,810.9360076408786,0.46881809080737297,0.5311819091926271,0.023909074848359933,0.3272481008185619,0.06937165066839408,22200.0,48.9,12.9,6.2,21.9,30.0,29.1,0.24338967080855073,0.0193157057888228,0.7372946234026264
14521035,,,,,,,,,,,,,,,,
14521040,332.20338983050846,0.48323615160349853,0.5167638483965015,0.002186588921282799,0.3534985422740525,0.03935860058309038,23500.0,49.3,13.4,5.1,20.5,32.4,28.7,0.3746355685131195,0.005466472303206997,0.6198979591836735
14521050,325.8376288659794,0.48764089381055964,0.5123591061894404,0.017599367213763102,0.3593039351394107,0.05260035594225826,23300.0,47.3,14.2,5.4,22.3,34.3,23.8,0.23591061894403798,0.028673126359501682,0.7354162546964603
14521060,452.6605504587156,0.4945277665180381,0.5054722334819619,0.008512363194162952,0.3449533846777463,0.053911633563032024,21400.0,48.6,14.0,4.5,21.9,33.8,25.8,0.37900283745439806,0.040129712201053915,0.580867450344548
14521070,504.1095890410959,0.4891304347826087,0.5108695652173914,0.007246376811594203,,0.03328804347826087,26900.0,47.0,14.9,4.9,23.4,32.7,24.1,0.40375905797101447,0.013360507246376812,0.5828804347826086
14521080,126.98329853862212,0.4812988080558981,0.5187011919441019,0.0012330456226880395,0.37566789971228937,0.03822441430332922,26800.0,48.0,13.7,5.1,22.0,34.8,24.4,0.5581586518701191,0.0,0.4418413481298808
14521090,63.565891472868216,0.49898373983739835,0.5010162601626016,0.003048780487804878,0.4105691056910569,0.028455284552845527,23400.0,47.3,14.9,4.4,22.2,35.3,23.2,0.45934959349593496,0.01524390243902439,0.5254065040650406
14521100,93.04407713498622,0.5025906735751295,0.4966691339748335,0.006661732050333087,,0.04071058475203553,20700.0,48.1,14.6,4.4,23.5,31.2,26.3,0.35529237601776464,0.025906735751295335,0.6180606957809031
14521110,96.03465511496168,0.48265093684941013,0.5173490631505898,0.005898681471200555,0.3665857043719639,0.04007633587786259,24300.0,49.3,13.4,5.3,20.7,33.7,26.9,0.45471894517696043,0.021686328938237336,0.5235947258848023
14521120,299.7640396413402,0.49165617128463474,0.5083438287153652,0.005667506297229219,0.3897984886649874,0.033847607052896724,25700.0,46.9,14.9,5.1,23.7,32.5,23.9,0.285264483627204,0.014011335012594458,0.7007241813602015
14521130,116.78551837630279,0.484264913104744,0.5157350868952559,0.0028182245185533112,0.39689995302959136,0.03287928604978863,24100.0,47.4,14.4,5.4,22.1,33.6,24.5,0.5636449037106623,0.009394081728511038,0.4269610145608267
14521140,135.36737235367374,0.5289788408463661,0.47010119595216193,0.005519779208831647,0.34590616375344985,0.04231830726770929,21100.0,46.3,16.2,5.1,23.0,32.5,23.2,0.5271389144434223,0.01655933762649494,0.45538178472861085
14521150,172.90775809407452,0.5071542130365659,0.492845786963434,0.019077901430842606,0.3833245009715598,0.03691927221338986,21700.0,45.2,16.3,6.0,24.4,31.0,22.3,0.4647588765235824,0.00865571453806748,0.5265854089383502
14521160,311.6645649432535,0.48229819947400365,0.5177018005259963,0.004855351001416144,0.3641513251062108,0.05158810439004653,21800.0,48.1,14.3,4.5,22.5,31.9,26.8,0.33400768763908556,0.010519927169734978,0.6554723851911795
14521170,71.48197596795728,0.49533059394844975,0.5046694060515502,0.0018677624206200972,0.35699165732785454,0.05877225750217906,21100.0,47.4,14.3,5.4,22.2,34.7,23.4,0.4466442535176192,0.015315651849084797,0.5380400946332959
14521180,67.48038360941587,0.49709302325581395,0.502906976744186,0.001937984496124031,0.39728682170542634,0.032622739018087855,22700.0,46.7,14.6,5.7,23.1,34.5,22.0,0.5429586563307494,0.006782945736434108,0.4502583979328165
14521190,105.60453400503778,0.5062611806797853,0.4937388193202147,0.007155635062611807,,0.02385211687537269,24400.0,46.4,15.3,6.0,21.5,35.1,22.0,0.3726893261776983,0.012522361359570662,0.614788312462731
14521200,209.3320701089531,0.49015614392396467,0.5096175605340575,0.0047522063815342835,0.3672776646300068,0.04797465489929848,22700.0,48.7,13.1,4.5,22.7,32.7,27.0,0.31341932563928493,0.004978501923512107,0.6813758768952252
14521210,202.39872068230275,0.4882802212272847,0.5117197787727154,0.0039504872267579665,0.33684487753489595,0.045825651830392417,22000.0,48.7,13.8,4.8,22.0,32.6,26.9,0.3942586252304451,0.010271266789570714,0.5954701079799842
14521220,192.09864116758934,0.4912234739324077,0.5087765260675924,0.006287660466334818,0.36232643437254386,0.030914330626146187,29400.0,47.4,14.6,5.3,22.1,33.7,24.3,0.3371757925072046,0.01074141996332198,0.6520827875294735
14521230,501.6746411483254,0.5035765379113019,0.49642346208869814,0.002861230329041488,0.402479732951836,0.037672865999046255,25700.0,47.3,14.1,5.8,23.4,31.3,25.4,0.30090605627086314,0.004291845493562232,0.6948020982355746
14521240,131.53471915081823,0.5050437121721587,0.4952925353059852,0.004034969737726967,0.39710827168796237,0.025554808338937456,23800.0,46.9,15.4,4.9,23.0,32.7,24.0,0.5279085406859448,0.009078681909885675,0.4633490248823134
14521250,136.56800299737728,0.499039780521262,0.500960219478738,0.005212620027434842,0.40329218106995884,0.03786008230452675,21700.0,45.2,15.6,5.7,24.9,34.1,19.9,0.6142661179698217,0.010425240054869684,0.37530864197530867
14521260,276.9541778975741,0.49764801297648015,0.5023519870235199,0.004379562043795621,0.39416058394160586,0.04266017842660178,24100.0,47.5,13.8,4.6,24.0,32.8,24.8,0.37420924574209247,0.018167072181670723,0.6076236820762368
14521270,163.16526610644257,0.49742489270386264,0.5030042918454936,0.002575107296137339,0.621030042918455,0.03175965665236052,23600.0,46.7,14.9,5.6,24.0,29.9,25.6,0.32918454935622316,0.021030042918454936,0.6502145922746781
14521280,89.46259220231823,0.5170789163722026,0.4840989399293286,,0.41813898704358066,0.04004711425206125,22900.0,44.5,18.1,4.9,24.1,34.7,18.2,0.4546525323910483,0.007067137809187279,0.5394581861012956
14521290,720.1520912547529,0.49208025343189016,0.5079197465681098,0.006335797254487857,0.39994720168954595,0.04039070749736008,24500.0,47.4,14.4,5.3,23.6,31.0,25.7,0.26478352692713836,0.016631467793030624,0.718585005279831
14521300,137.98586572438163,0.49487836107554417,0.5044814340588989,,,0.026248399487836107,28900.0,44.9,17.1,6.0,24.0,31.3,21.6,0.47631241997439183,0.010243277848911651,0.5128040973111395
14521310,216.1302681992337,0.49352951604325473,0.5064704839567452,0.002304555929799681,0.3976245346569757,0.02588193582698103,28700.0,47.7,14.5,4.3,21.5,36.7,23.0,0.3334515156887077,0.014713703244105656,0.6518347810671866
14521320,153.66677931733693,0.4750384869144491,0.524961513085551,0.003958654057620409,0.3109742687486255,0.06179898834396305,21700.0,50.8,10.3,5.0,19.2,37.4,28.1,0.25511326149109304,0.03320870903892677,0.7116780294699802
14521330,60.06441223832528,0.5020107238605898,0.4979892761394102,0.006367292225201072,0.3776809651474531,0.04725201072386059,20300.0,47.2,14.1,5.8,22.5,34.6,23.0,0.5871313672922251,0.013404825737265416,0.39946380697050937
14521340,118.06550665301945,0.49501517121803207,0.5049848287819679,0.004334633723450368,0.38838318162115304,0.036410923276983094,22000.0,43.7,19.4,5.4,23.7,32.1,19.5,0.5383615084525357,0.007368877329865626,0.4542696142175986
14521350,217.7262180974478,0.4876385336743393,0.5123614663256607,0.0019181585677749361,,0.05370843989769821,23100.0,47.6,14.4,5.5,22.2,32.8,25.1,0.38341858482523444,0.007459505541346973,0.6091219096334186
14521355,,,,,,,,,,,,,,,,
14521360,92.06649831649831,0.4889142857142857,0.5110857142857143,0.002285714285714286,,0.0384,20300.0,47.8,15.3,4.9,21.8,31.1,26.9,0.4937142857142857,0.0176,0.4886857142857143
14521370,306.7147068457255,0.4818453652285348,0.5181546347714652,0.007582229816317813,0.3636266552755233,0.06172575822298163,22400.0,47.4,13.8,5.6,21.9,35.1,23.6,0.2606791969243913,0.013135412217001282,0.7261853908586074
14521380,1094.7784810126582,0.4841740135857783,0.5158259864142217,0.0021679433444139326,0.47579129932071107,0.049573637808931925,23600.0,49.5,12.0,4.8,22.7,32.4,28.1,0.1594161005925712,0.015031073854603266,0.8255528255528255
14521390,124.51137758474177,0.4957913096231137,0.5042845226359294,0.009479032380374612,0.5269583680897854,0.06157579434291348,22800.0,46.9,14.4,5.3,23.7,34.0,22.6,0.42602563130355653,0.01782058087510427,0.5562296200803822
14521400,111.05146826649826,0.5001421666192778,0.4998578333807222,0.0025589991470002845,0.433892522035826,0.04009098663633779,22900.0,46.1,14.4,6.3,23.3,35.8,20.2,0.5962468012510662,0.006255331248222917,0.3974978675007108
14521410,339.96023856858847,0.4903508771929825,0.5096491228070176,0.004678362573099415,0.3932748538011696,0.02982456140350877,28600.0,48.4,12.9,4.4,23.3,34.0,25.4,0.17485380116959065,0.0195906432748538,0.8055555555555556
14521420,97.92785878741367,0.4890282131661442,0.5117554858934169,0.007053291536050157,0.3926332288401254,0.029780564263322883,27600.0,48.3,11.3,5.6,22.0,38.8,22.4,0.22648902821316613,0.029780564263322883,0.7445141065830722
14521430,449.1749174917492,0.49889786921381335,0.5011021307861866,0.0033063923585598823,0.4066862601028655,0.04041146216017634,25300.0,47.7,13.2,5.2,23.4,32.7,25.6,0.22593681116825864,0.012490815576781777,0.7615723732549596
14521440,58.57928964482242,0.4897523484201537,0.5102476515798463,0.01067463706233988,0.35098206660973524,0.04099060631938514,22200.0,49.9,11.3,4.1,20.0,39.4,25.2,0.3706233988044407,0.04739538855678907,0.5819812126387702
14521450,442.4057860677579,0.48468421958354846,0.5153157804164515,0.004130098089829634,0.3579418344519016,0.05231457580450869,22600.0,48.0,13.4,5.5,22.8,31.7,26.6,0.16615040440543796,0.022715539494062985,0.811134056100499
14521460,136.61791850063892,0.48617750987320724,0.5138224901267928,0.004676782373726876,0.3456661816670131,0.05071710663063812,20800.0,50.0,12.7,4.6,20.5,32.9,29.2,0.3076283516940345,0.027333194762003743,0.6650384535439617
14521470,49.17467803373843,0.4983400959055699,0.5012910365178901,0.0011066027296200663,0.383253412025083,0.0450018443378827,20600.0,49.0,13.5,4.5,20.6,34.6,26.8,0.45260051641460713,0.02028771670970122,0.5267428992991516
14521480,368.02218114602584,0.5047714716223004,0.49522852837769965,,,,,,,,,,,0.6027122049221497,0.011049723756906077,0.38623807132094423
14521490,108.90429958391124,0.5,0.5,0.0038206826286296485,,0.03769740193581253,21100.0,47.8,13.9,5.7,22.4,33.2,25.0,0.48318899643402957,0.014773306164034642,0.5020376974019358
14521495,,,,,,,,,,,,,,,,
14521500,139.27125506072872,0.49055232558139533,0.5094476744186046,0.003815406976744186,0.36191860465116277,0.0436046511627907,23800.0,49.1,13.3,4.8,21.4,34.9,25.6,0.38844476744186046,0.015625,0.5959302325581395
14521510,247.61376248612652,0.5047064096817571,0.49529359031824294,,0.41147467503361723,0.043478260869565216,22500.0,45.8,15.2,5.5,24.7,33.5,21.1,0.5679067682653519,0.01523980277902286,0.41685342895562527
14521520,118.97121283624351,0.4839349464498215,0.5160650535501785,,0.3744545815152717,0.0432368107893693,23400.0,46.4,16.3,4.7,23.6,32.6,22.9,0.5216184053946846,0.01190003966679889,0.46648155493851645
14521530,640.3854389721627,0.4859225573463519,0.5140774426536481,0.0202634922757975,0.3527051427807129,0.06379990637330302,22900.0,48.6,13.1,5.4,21.8,34.5,25.2,0.2510533003410687,0.021935397579081122,0.7270113020798502
14521540,175.97864768683274,0.4861476238624874,0.5138523761375127,0.004246713852376138,0.34903943377148633,0.03842264914054601,22700.0,50.3,12.8,4.9,20.5,31.7,30.2,0.45722952477249745,0.008695652173913044,0.5340748230535894
14521550,390.86984675156486,0.47589596333314926,0.5241040366668508,0.007399635540339058,0.3586062179027003,0.05914186316196367,22300.0,48.0,13.6,5.4,21.7,34.5,24.7,0.2851068529460489,0.024186868407973936,0.6907062786459771
14521560,154.4431946006749,0.49512017479970866,0.5048798252002913,0.0013109978150036416,0.3858703568827385,0.03525127458120903,21800.0,47.0,15.5,5.5,22.1,32.8,24.1,0.517115804806992,0.011798980335032775,0.4710852148579752
14521570,195.89702333065165,0.508829568788501,0.49117043121149895,,0.33921971252566735,0.03737166324435318,17900.0,49.6,13.8,3.9,20.4,33.7,28.2,0.5552361396303901,0.01642710472279261,0.4283367556468172
14521580,,,,,,,,,,,,,,,,
14521590,298.9698686582539,0.480230855370833,0.519769144629167,0.009906107330519425,0.365233870273064,0.04057197002325782,25700.0,48.9,13.0,5.5,21.2,32.3,28.0,0.2310276509604617,0.028512361099147215,0.740459987940391
14521600,125.5641748942172,0.4934007301319854,0.5065992698680146,0.007020499859590003,0.39707947205841054,0.030609379387812413,26300.0,46.4,15.9,4.6,23.8,32.6,23.1,0.5678180286436394,0.006178039876439202,0.4260039314799214
14521610,146.09571788413098,0.506896551724138,0.49310344827586206,,0.3482758620689655,0.045689655172413794,23000.0,44.9,17.6,6.0,21.4,35.5,19.4,0.4956896551724138,0.01293103448275862,0.49137931034482757
14521620,634.074074074074,0.4870035046728972,0.5129964953271028,0.01620911214953271,0.3698890186915888,0.04322429906542056,22700.0,48.8,12.9,5.4,22.5,32.1,27.1,0.2552570093457944,0.041325934579439255,0.7034170560747663
14521630,145.9314332920281,0.49589583923011604,0.504104160769884,0.0042456835550523635,0.38720634022077555,0.04273988112086046,23000.0,45.5,16.5,5.8,23.2,32.0,22.4,0.44523068213982453,0.006510048117746957,0.5482592697424286
14521640,290.7358390682901,0.4919883466860889,0.5080116533139112,0.003459577567370721,0.3610706482155863,0.039694100509832485,23900.0,46.4,15.7,5.3,23.8,32.1,23.0,0.4406409322651129,0.01110706482155863,0.5482520029133284
14521650,,,,,,,,,,,,,,,,
14521660,,,,,,,,,,,,,,,,
14521670,132.9727958046542,0.4873058910525018,0.5126941089474981,0.004436775942814888,0.3926546709391176,0.03450825733300468,22400.0,47.8,14.2,5.0,23.1,32.7,24.9,0.5193492728617205,0.005915701257086517,0.474735025881193
14521680,128.95212285456188,0.5019264448336253,0.49772329246935204,0.0035026269702276708,,,,,,,,,,0.43362521891418565,0.01576182136602452,0.5502626970227671
14521690,441.0402097902098,0.4816172827271826,0.5183827172728174,0.035477157863442674,0.3346546427509662,0.0598553166187692,22300.0,49.2,12.8,5.3,20.7,33.0,28.2,0.22396194628877217,0.02368447131106927,0.7523535824001586
14521700,253.8181818181818,0.4874641833810888,0.5125358166189111,0.0026862464183381087,0.37893982808022925,0.02919054441260745,25900.0,48.2,13.6,5.3,22.0,33.9,25.2,0.4919412607449857,0.008954154727793696,0.4991045845272206
14521710,209.61029133560348,0.4878158844765343,0.5122743682310469,0.006768953068592058,0.4556859205776173,0.04160649819494585,23700.0,47.0,15.0,4.9,23.7,32.3,24.0,0.33086642599277977,0.03637184115523466,0.6328519855595668
14522000,152.3982795414003,0.4931181052978015,0.506884999549797,0.011782896636518596,0.38035625021345826,0.0459827929346088,24700.0,47.6,13.7,5.8,22.7,32.0,25.7,0.22974940775032057,0.021336512697274254,0.7489171844000038
14522010,141.15138592750532,0.501007049345418,0.4989929506545821,0.004531722054380665,0.42346424974823765,0.03675730110775428,29200.0,45.8,15.0,5.7,23.8,34.6,21.0,0.2754279959718026,0.010574018126888218,0.7139979859013091
14522020,207.5117370892019,0.493006993006993,0.506993006993007,0.0049362402303578775,0.36404771698889343,0.029206088029617442,27700.0,49.1,13.4,4.6,21.7,31.9,28.4,0.2562731386260798,0.027972027972027972,0.7157548334018923
